Requisition,Questionnaire_for_External_Career_Sites_Reference,Questionnaire_for_Internal_Career_Site_Reference,Supervisory_Organization_Reference,Position_Reference,Spotlight_Job,Scheduled_Weekly_Hours,Time_Type_Reference,Primary_Job_Posting_Location_Reference,Primary_Location_Reference,Position_Worker_Type_Reference,Worker_Type_Reference,Job_Profile_Reference,Target_Hire_Date,Recruiting_Start_Date,Job_Requisition_Status_Reference,DateCreated_TaylorMorrisonDatalake,DateModified_TaylorMorrisonDatalake,RequisitionReason
RW1748,,,"[{""@wd:type"":""WID"",""#text"":""cc5437fa4b0510291587938b48836bed""},{""@wd:type"":""Organization_Reference_ID"",""#text"":""Austin Purchasing""}]","[{""@wd:type"":""WID"",""#text"":""162f18b2077c0121d4c66b9abf01bb11""},{""@wd:type"":""Position_ID"",""#text"":""WL558340""}]",0,40.00000,"[{""@wd:type"":""WID"",""#text"":""7de2238c96cb1021f052b6e58d4f01ee""},{""@wd:type"":""Position_Time_Type_ID"",""#text"":""Full_time""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b051028376d67a4d48c5b8e""},{""@wd:type"":""Location_ID"",""#text"":""TX - Austin""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b051028376d67a4d48c5b8e""},{""@wd:type"":""Location_ID"",""#text"":""TX - Austin""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b05102824b3eb44d96c40ce""},{""@wd:type"":""Employee_Type_ID"",""#text"":""Regular""}]","[{""@wd:type"":""WID"",""#text"":""d588c41a446c11de98360015c5e6daf6""},{""@wd:type"":""Worker_Type_ID"",""#text"":""EE""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b0510283dfa92bd7bb35f36""},{""@wd:type"":""Job_Profile_ID"",""#text"":""ARCHCOOR""}]",2020-02-06,2020-02-06,"[{""@wd:type"":""WID"",""#text"":""232c295da09343aea44be6eb390d719f""},{""@wd:type"":""Job_Requisition_Status_ID"",""#text"":""FILLED""}]",2023-06-21 05:53:06.593,2026-02-03 01:08:01.220,
RW1747,,,"[{""@wd:type"":""WID"",""#text"":""7407929fcf8d1083df33417b7252c21a""},{""@wd:type"":""Organization_Reference_ID"",""#text"":""SUP-ORG-176""}]","[{""@wd:type"":""WID"",""#text"":""162f18b2077c01c957c95c9abf01af11""},{""@wd:type"":""Position_ID"",""#text"":""WL558558""}]",0,40.00000,"[{""@wd:type"":""WID"",""#text"":""7de2238c96cb1021f052b6e58d4f01ee""},{""@wd:type"":""Position_Time_Type_ID"",""#text"":""Full_time""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b051028376d76b6b9545bb2""},{""@wd:type"":""Location_ID"",""#text"":""AZ - Phoenix""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b051028376d76b6b9545bb2""},{""@wd:type"":""Location_ID"",""#text"":""AZ - Phoenix""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b05102824b3eb44d96c40ce""},{""@wd:type"":""Employee_Type_ID"",""#text"":""Regular""}]","[{""@wd:type"":""WID"",""#text"":""d588c41a446c11de98360015c5e6daf6""},{""@wd:type"":""Worker_Type_ID"",""#text"":""EE""}]","[{""@wd:type"":""WID"",""#text"":""846d8248e25f10b4666c232c758dd1b1""},{""@wd:type"":""Job_Profile_ID"",""#text"":""SUPTR""}]",2020-02-06,2020-02-06,"[{""@wd:type"":""WID"",""#text"":""232c295da09343aea44be6eb390d719f""},{""@wd:type"":""Job_Requisition_Status_ID"",""#text"":""FILLED""}]",2023-06-21 05:53:06.593,2026-02-03 01:08:01.220,
RW1746,,,"[{""@wd:type"":""WID"",""#text"":""099af8ca3868018bbbf1df04ff01df3a""},{""@wd:type"":""Organization_Reference_ID"",""#text"":""People Services Partners A""}]","[{""@wd:type"":""WID"",""#text"":""162f18b2077c013029e14e9abf01a311""},{""@wd:type"":""Position_ID"",""#text"":""WL558111""}]",0,40.00000,"[{""@wd:type"":""WID"",""#text"":""7de2238c96cb1021f052b6e58d4f01ee""},{""@wd:type"":""Position_Time_Type_ID"",""#text"":""Full_time""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b051028376d7a8425f35bbb""},{""@wd:type"":""Location_ID"",""#text"":""AZ - Scottsdale""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b051028376d7a8425f35bbb""},{""@wd:type"":""Location_ID"",""#text"":""AZ - Scottsdale""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b05102824b3eb44d96c40ce""},{""@wd:type"":""Employee_Type_ID"",""#text"":""Regular""}]","[{""@wd:type"":""WID"",""#text"":""d588c41a446c11de98360015c5e6daf6""},{""@wd:type"":""Worker_Type_ID"",""#text"":""EE""}]","[{""@wd:type"":""WID"",""#text"":""1798e040c90c014fac40219dc13f4e2b""},{""@wd:type"":""Job_Profile_ID"",""#text"":""TACOOR""}]",2020-02-06,2020-02-06,"[{""@wd:type"":""WID"",""#text"":""232c295da09343aea44be6eb390d719f""},{""@wd:type"":""Job_Requisition_Status_ID"",""#text"":""FILLED""}]",2023-06-21 05:53:06.593,2026-02-03 01:08:01.220,
RW1745,,,"[{""@wd:type"":""WID"",""#text"":""cc5437fa4b051029158633b3cd286ac9""},{""@wd:type"":""Organization_Reference_ID"",""#text"":""SUP709788""}]","[{""@wd:type"":""WID"",""#text"":""162f18b2077c0120219f419abf019511""},{""@wd:type"":""Position_ID"",""#text"":""WL558310""}]",0,40.00000,"[{""@wd:type"":""WID"",""#text"":""7de2238c96cb1021f052b6e58d4f01ee""},{""@wd:type"":""Position_Time_Type_ID"",""#text"":""Full_time""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b051028376d7a8425f35bbb""},{""@wd:type"":""Location_ID"",""#text"":""AZ - Scottsdale""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b051028376d7a8425f35bbb""},{""@wd:type"":""Location_ID"",""#text"":""AZ - Scottsdale""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b05102824b3eb44d96c40ce""},{""@wd:type"":""Employee_Type_ID"",""#text"":""Regular""}]","[{""@wd:type"":""WID"",""#text"":""d588c41a446c11de98360015c5e6daf6""},{""@wd:type"":""Worker_Type_ID"",""#text"":""EE""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b0510283dfc7ff71c3460bb""},{""@wd:type"":""Job_Profile_ID"",""#text"":""PARALEG""}]",2020-02-06,2020-02-06,"[{""@wd:type"":""WID"",""#text"":""232c295da09343aea44be6eb390d719f""},{""@wd:type"":""Job_Requisition_Status_ID"",""#text"":""FILLED""}]",2023-06-21 05:53:06.593,2026-02-03 01:08:01.220,
RW1744,,,"[{""@wd:type"":""WID"",""#text"":""099af8ca3868010f7b6b0116ba015811""},{""@wd:type"":""Organization_Reference_ID"",""#text"":""SoCal Sales & Marketing B""}]","[{""@wd:type"":""WID"",""#text"":""162f18b2077c01caa999339abf018d11""},{""@wd:type"":""Position_ID"",""#text"":""WL558332""}]",0,40.00000,"[{""@wd:type"":""WID"",""#text"":""7de2238c96cb1021f052b6e58d4f01ee""},{""@wd:type"":""Position_Time_Type_ID"",""#text"":""Full_time""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b051028376d8cbd8e065be8""},{""@wd:type"":""Location_ID"",""#text"":""CA - Irvine""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b051028376d8cbd8e065be8""},{""@wd:type"":""Location_ID"",""#text"":""CA - Irvine""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b05102824b3eb44d96c40ce""},{""@wd:type"":""Employee_Type_ID"",""#text"":""Regular""}]","[{""@wd:type"":""WID"",""#text"":""d588c41a446c11de98360015c5e6daf6""},{""@wd:type"":""Worker_Type_ID"",""#text"":""EE""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b0510283dfca90a4e5f60e7""},{""@wd:type"":""Job_Profile_ID"",""#text"":""SASST""}]",2020-02-06,2020-02-06,"[{""@wd:type"":""WID"",""#text"":""232c295da09343aea44be6eb390d719f""},{""@wd:type"":""Job_Requisition_Status_ID"",""#text"":""FILLED""}]",2023-06-21 05:53:06.593,2026-02-03 01:08:01.220,
RW1743,,,"[{""@wd:type"":""WID"",""#text"":""7346fa6069960185aa7554ce6f536ed9""},{""@wd:type"":""Organization_Reference_ID"",""#text"":""SUP-ORG-244""}]","[{""@wd:type"":""WID"",""#text"":""162f18b2077c0196e47f249abf018111""},{""@wd:type"":""Position_ID"",""#text"":""WL557803""}]",0,40.00000,"[{""@wd:type"":""WID"",""#text"":""7de2238c96cb1021f052b6e58d4f01ee""},{""@wd:type"":""Position_Time_Type_ID"",""#text"":""Full_time""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b051028376d905264ed5bf1""},{""@wd:type"":""Location_ID"",""#text"":""CA - Bay Area""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b051028376d905264ed5bf1""},{""@wd:type"":""Location_ID"",""#text"":""CA - Bay Area""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b05102824b3eb44d96c40ce""},{""@wd:type"":""Employee_Type_ID"",""#text"":""Regular""}]","[{""@wd:type"":""WID"",""#text"":""d588c41a446c11de98360015c5e6daf6""},{""@wd:type"":""Worker_Type_ID"",""#text"":""EE""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b0510283dfafdb4e9175fa6""},{""@wd:type"":""Job_Profile_ID"",""#text"":""CSR2""}]",2020-02-06,2020-02-06,"[{""@wd:type"":""WID"",""#text"":""232c295da09343aea44be6eb390d719f""},{""@wd:type"":""Job_Requisition_Status_ID"",""#text"":""FILLED""}]",2023-06-21 05:53:06.593,2026-02-03 01:08:01.220,
RW1742,,,"[{""@wd:type"":""WID"",""#text"":""cc5437fa4b0510291586dd8393236b9e""},{""@wd:type"":""Organization_Reference_ID"",""#text"":""Denver Purchasing Operations""}]","[{""@wd:type"":""WID"",""#text"":""162f18b2077c01044e86159abf017511""},{""@wd:type"":""Position_ID"",""#text"":""WL55852X""}]",0,40.00000,"[{""@wd:type"":""WID"",""#text"":""7de2238c96cb1021f052b6e58d4f01ee""},{""@wd:type"":""Position_Time_Type_ID"",""#text"":""Full_time""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b051028376d81e7fdb95bcd""},{""@wd:type"":""Location_ID"",""#text"":""CO - Englewood""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b051028376d81e7fdb95bcd""},{""@wd:type"":""Location_ID"",""#text"":""CO - Englewood""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b05102824b3eb44d96c40ce""},{""@wd:type"":""Employee_Type_ID"",""#text"":""Regular""}]","[{""@wd:type"":""WID"",""#text"":""d588c41a446c11de98360015c5e6daf6""},{""@wd:type"":""Worker_Type_ID"",""#text"":""EE""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b0510283dfc966f2cde60d3""},{""@wd:type"":""Job_Profile_ID"",""#text"":""PURCHMGR""}]",2020-02-06,2020-02-06,"[{""@wd:type"":""WID"",""#text"":""232c295da09343aea44be6eb390d719f""},{""@wd:type"":""Job_Requisition_Status_ID"",""#text"":""FILLED""}]",2023-06-21 05:53:06.593,2026-02-03 01:08:01.220,
RW1741,,,"[{""@wd:type"":""WID"",""#text"":""099af8ca3868010f7b6b0116ba015811""},{""@wd:type"":""Organization_Reference_ID"",""#text"":""SoCal Sales & Marketing B""}]","[{""@wd:type"":""WID"",""#text"":""162f18b2077c015f72f2059abf016d11""},{""@wd:type"":""Position_ID"",""#text"":""WL555532""}]",0,40.00000,"[{""@wd:type"":""WID"",""#text"":""7de2238c96cb1021f052b6e58d4f01ee""},{""@wd:type"":""Position_Time_Type_ID"",""#text"":""Full_time""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b051028376d8cbd8e065be8""},{""@wd:type"":""Location_ID"",""#text"":""CA - Irvine""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b051028376d8cbd8e065be8""},{""@wd:type"":""Location_ID"",""#text"":""CA - Irvine""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b05102824b3eb44d96c40ce""},{""@wd:type"":""Employee_Type_ID"",""#text"":""Regular""}]","[{""@wd:type"":""WID"",""#text"":""d588c41a446c11de98360015c5e6daf6""},{""@wd:type"":""Worker_Type_ID"",""#text"":""EE""}]","[{""@wd:type"":""WID"",""#text"":""64de2ff19983010d12e74da16301f6c2""},{""@wd:type"":""Job_Profile_ID"",""#text"":""CSMWL""}]",2020-02-06,2020-02-06,"[{""@wd:type"":""WID"",""#text"":""232c295da09343aea44be6eb390d719f""},{""@wd:type"":""Job_Requisition_Status_ID"",""#text"":""FILLED""}]",2023-06-21 05:53:06.593,2026-02-03 01:08:01.220,
RW1740,,,"[{""@wd:type"":""WID"",""#text"":""64de2ff1998301e1aceaee70fe01fe40""},{""@wd:type"":""Organization_Reference_ID"",""#text"":""Seattle Construction Area A""}]","[{""@wd:type"":""WID"",""#text"":""162f18b2077c018e4c44f699bf016511""},{""@wd:type"":""Position_ID"",""#text"":""WL557624""}]",0,40.00000,"[{""@wd:type"":""WID"",""#text"":""7de2238c96cb1021f052b6e58d4f01ee""},{""@wd:type"":""Position_Time_Type_ID"",""#text"":""Full_time""}]","[{""@wd:type"":""WID"",""#text"":""000e459e232001ce69f3955dd01f72dc""},{""@wd:type"":""Location_ID"",""#text"":""WA ? Bellevue/Seattle""}]","[{""@wd:type"":""WID"",""#text"":""000e459e232001ce69f3955dd01f72dc""},{""@wd:type"":""Location_ID"",""#text"":""WA ? Bellevue/Seattle""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b05102824b3eb44d96c40ce""},{""@wd:type"":""Employee_Type_ID"",""#text"":""Regular""}]","[{""@wd:type"":""WID"",""#text"":""d588c41a446c11de98360015c5e6daf6""},{""@wd:type"":""Worker_Type_ID"",""#text"":""EE""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b0510283dfcf87857ab6137""},{""@wd:type"":""Job_Profile_ID"",""#text"":""SUPER""}]",2020-02-06,2020-02-06,"[{""@wd:type"":""WID"",""#text"":""232c295da09343aea44be6eb390d719f""},{""@wd:type"":""Job_Requisition_Status_ID"",""#text"":""FILLED""}]",2023-06-21 05:53:06.593,2026-02-03 01:08:01.220,
RW1739,,,"[{""@wd:type"":""WID"",""#text"":""64de2ff1998301e70db0cea0fe019841""},{""@wd:type"":""Organization_Reference_ID"",""#text"":""Seattle Construction Area C""}]","[{""@wd:type"":""WID"",""#text"":""162f18b2077c01814443e299bf015d11""},{""@wd:type"":""Position_ID"",""#text"":""WL558042""}]",0,40.00000,"[{""@wd:type"":""WID"",""#text"":""7de2238c96cb1021f052b6e58d4f01ee""},{""@wd:type"":""Position_Time_Type_ID"",""#text"":""Full_time""}]","[{""@wd:type"":""WID"",""#text"":""000e459e232001ce69f3955dd01f72dc""},{""@wd:type"":""Location_ID"",""#text"":""WA ? Bellevue/Seattle""}]","[{""@wd:type"":""WID"",""#text"":""000e459e232001ce69f3955dd01f72dc""},{""@wd:type"":""Location_ID"",""#text"":""WA ? Bellevue/Seattle""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b05102824b3eb44d96c40ce""},{""@wd:type"":""Employee_Type_ID"",""#text"":""Regular""}]","[{""@wd:type"":""WID"",""#text"":""d588c41a446c11de98360015c5e6daf6""},{""@wd:type"":""Worker_Type_ID"",""#text"":""EE""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b0510283dfaa8aea3cd5f4e""},{""@wd:type"":""Job_Profile_ID"",""#text"":""ASUPER""}]",2020-02-06,2020-02-06,"[{""@wd:type"":""WID"",""#text"":""232c295da09343aea44be6eb390d719f""},{""@wd:type"":""Job_Requisition_Status_ID"",""#text"":""FILLED""}]",2023-06-21 05:53:06.593,2026-02-03 01:08:01.220,
RW1738,,,"[{""@wd:type"":""WID"",""#text"":""cc5437fa4b051029158675dbeacd6b0e""},{""@wd:type"":""Organization_Reference_ID"",""#text"":""SoCal Division Operations""}]","[{""@wd:type"":""WID"",""#text"":""162f18b2077c013e1ee8799270007601""},{""@wd:type"":""Position_ID"",""#text"":""WL067331""}]",0,40.00000,"[{""@wd:type"":""WID"",""#text"":""7de2238c96cb1021f052b6e58d4f01ee""},{""@wd:type"":""Position_Time_Type_ID"",""#text"":""Full_time""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b051028376d8cbd8e065be8""},{""@wd:type"":""Location_ID"",""#text"":""CA - Irvine""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b051028376d8cbd8e065be8""},{""@wd:type"":""Location_ID"",""#text"":""CA - Irvine""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b05102824b3eb44d96c40ce""},{""@wd:type"":""Employee_Type_ID"",""#text"":""Regular""}]","[{""@wd:type"":""WID"",""#text"":""d588c41a446c11de98360015c5e6daf6""},{""@wd:type"":""Worker_Type_ID"",""#text"":""EE""}]","[{""@wd:type"":""WID"",""#text"":""64de2ff1998301ebf3f72a35c700744d""},{""@wd:type"":""Job_Profile_ID"",""#text"":""WLADEX""}]",2020-02-06,2020-02-06,"[{""@wd:type"":""WID"",""#text"":""232c295da09343aea44be6eb390d719f""},{""@wd:type"":""Job_Requisition_Status_ID"",""#text"":""FILLED""}]",2023-06-21 05:53:06.593,2026-02-03 01:08:01.220,
RW1737,,,"[{""@wd:type"":""WID"",""#text"":""64de2ff1998301eed4e034aa0402dc4e""},{""@wd:type"":""Organization_Reference_ID"",""#text"":""Las Vegas Operations""}]","[{""@wd:type"":""WID"",""#text"":""162f18b2077c01b36af0699270006a01""},{""@wd:type"":""Position_ID"",""#text"":""WL218575""}]",0,40.00000,"[{""@wd:type"":""WID"",""#text"":""7de2238c96cb1021f052b6e58d4f01ee""},{""@wd:type"":""Position_Time_Type_ID"",""#text"":""Full_time""}]","[{""@wd:type"":""WID"",""#text"":""e486119f79c3013a7bf40895a9c9e787""},{""@wd:type"":""Location_ID"",""#text"":""NV - Remote""}]","[{""@wd:type"":""WID"",""#text"":""e486119f79c3013a7bf40895a9c9e787""},{""@wd:type"":""Location_ID"",""#text"":""NV - Remote""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b05102824b3eb44d96c40ce""},{""@wd:type"":""Employee_Type_ID"",""#text"":""Regular""}]","[{""@wd:type"":""WID"",""#text"":""d588c41a446c11de98360015c5e6daf6""},{""@wd:type"":""Worker_Type_ID"",""#text"":""EE""}]","[{""@wd:type"":""WID"",""#text"":""64de2ff1998301ebf3f72a35c700744d""},{""@wd:type"":""Job_Profile_ID"",""#text"":""WLADEX""}]",2020-02-06,2020-02-06,"[{""@wd:type"":""WID"",""#text"":""232c295da09343aea44be6eb390d719f""},{""@wd:type"":""Job_Requisition_Status_ID"",""#text"":""FILLED""}]",2023-06-21 05:53:06.593,2026-02-03 01:08:01.220,
RW1736,,,"[{""@wd:type"":""WID"",""#text"":""64de2ff1998301eed4e034aa0402dc4e""},{""@wd:type"":""Organization_Reference_ID"",""#text"":""Las Vegas Operations""}]","[{""@wd:type"":""WID"",""#text"":""162f18b2077c017ac8dd589270005e01""},{""@wd:type"":""Position_ID"",""#text"":""WL218570""}]",0,40.00000,"[{""@wd:type"":""WID"",""#text"":""7de2238c96cb1021f052b6e58d4f01ee""},{""@wd:type"":""Position_Time_Type_ID"",""#text"":""Full_time""}]","[{""@wd:type"":""WID"",""#text"":""e486119f79c3013a7bf40895a9c9e787""},{""@wd:type"":""Location_ID"",""#text"":""NV - Remote""}]","[{""@wd:type"":""WID"",""#text"":""e486119f79c3013a7bf40895a9c9e787""},{""@wd:type"":""Location_ID"",""#text"":""NV - Remote""}]","[{""@wd:type"":""WID"",""#text"":""cc5437fa4b05102824b3eb44d96c40ce""},{""@wd:type"":""Employee_Type_ID"",""#text"":""Regular""}]","[{""@wd:type"":""WID"",""#text"":""d588c41a446c11de98360015c5e6daf6""},{""@wd:type"":""Worker_Type_ID"",""#text"":""EE""}]","[{""@wd:type"":""WID"",""#text"":""64de2ff1998301ebf3f72a35c700744d""},{""@wd:type"":""Job_Profile_ID"",""#text"":""WLADEX""}]",2020-02-06,2020-02-06,"[{""@wd:type"":""WID"",""#text"":""232c295da09343aea44be6eb390d719f""},{""@wd:type"":""Job_Requisition_Status_ID"",""#text"":""FILLED""}]",2023-06-21 05:53:06.593,2026-02-03 01:08:01.220,
